task,recipe,reference,mask_name,metric,is_primary,n,df,mean,std,ci95_low,ci95_high,seeds_json,seed_differences_json
gpt_wikitext103,constant_ild,dense,primary_two_thirds,accuracy,False,3,2,0.20926753183205923,0.02425020779542719,0.14902667612754905,0.2695083875365694,"[2000, 2001, 2002]","[0.2363797128200531, 0.20177525281906128, 0.1896476298570633]"
gpt_wikitext103,constant_ild,dense,primary_two_thirds,excess_ce,True,3,2,-4.106186618649863,0.5166183491745706,-5.389537742461515,-2.822835494838211,"[2000, 2001, 2002]","[-4.668900617739049, -3.996320829158877, -3.6533384090516634]"
gpt_wikitext103,constant_ild,dense,primary_two_thirds,accuracy_change,False,3,2,0.22398079931735992,0.022097764699450174,0.16908690868014997,0.2788746899545699,"[2000, 2001, 2002]","[0.24820563197135925, 0.21880951523780823, 0.2049272507429123]"
gpt_wikitext103,constant_ild,dense,prefix_4,ce,False,3,2,-4.951670124601867,0.6342203490012437,-6.527160811170434,-3.376179438033299,"[2000, 2001, 2002]","[-5.674507183757256, -4.692062156956371, -4.488441033091972]"
gpt_wikitext103,constant_ild,dense,prefix_4,accuracy,False,3,2,0.21362767120202383,0.00595751750211852,0.1988283773060808,0.22842696509796687,"[2000, 2001, 2002]","[0.22009574621915817, 0.2124221846461296, 0.2083650827407837]"
gpt_wikitext103,constant_ild,dense,prefix_4,excess_ce,False,3,2,-5.085095948320094,0.6132370984221309,-6.608461350808157,-3.561730545832032,"[2000, 2001, 2002]","[-5.782112644939888, -4.844687240879711, -4.628487959140685]"
gpt_wikitext103,constant_ild,dense,prefix_4,accuracy_change,False,3,2,0.22834093868732452,0.004249740360599066,0.21778399839204357,0.23889787898260548,"[2000, 2001, 2002]","[0.23192166537046432, 0.22945644706487656, 0.2236447036266327]"
gpt_wikitext103,constant_ild,dense,prefix_6,ce,False,3,2,-4.740933405351511,0.6453779730797345,-6.344141166667961,-3.1377256440350605,"[2000, 2001, 2002]","[-5.474429440692189, -4.488204696314122, -4.26016607904822]"
gpt_wikitext103,constant_ild,dense,prefix_6,accuracy,False,3,2,0.2352708379427592,0.021960843105622258,0.180717079400342,0.28982459648517633,"[2000, 2001, 2002]","[0.2597854733467102, 0.22863073647022247, 0.2173963040113449]"
gpt_wikitext103,constant_ild,dense,prefix_6,excess_ce,False,3,2,-4.874359229069739,0.624562047782165,-6.42585736534771,-3.322861092791769,"[2000, 2001, 2002]","[-5.582034901874821, -4.640829780237462, -4.4002130050969335]"
gpt_wikitext103,constant_ild,dense,prefix_6,accuracy_change,False,3,2,0.2499841054280599,0.019823815735011366,0.20073901716820564,0.2992291936879142,"[2000, 2001, 2002]","[0.27161139249801636, 0.24566499888896942, 0.2326759248971939]"
gpt_wikitext103,constant_ild,dense,prefix_10,ce,False,3,2,-2.2052639726054704,0.24467002090215603,-2.8130579984845228,-1.597469946726418,"[2000, 2001, 2002]","[-2.321033691003071, -2.3705638986292894, -1.924194328184051]"
gpt_wikitext103,constant_ild,dense,prefix_10,accuracy,False,3,2,0.10049063960711162,0.010211385840146081,0.0751241509514839,0.12585712826273934,"[2000, 2001, 2002]","[0.10853338241577148, 0.10393640398979187, 0.08900213241577148]"
gpt_wikitext103,constant_ild,dense,prefix_10,excess_ce,False,3,2,-2.338689796323699,0.24233534471364956,-2.940684165037954,-1.736695427609444,"[2000, 2001, 2002]","[-2.428639152185704, -2.5231889825526292, -2.064241254232764]"
